,EXCLAMATION,!,','!','!',,EXCLAMATION,'!'
,NUMBERSIGN,#,','#','#',,NUMBERSIGN,'#'
,DOLLAR,$,','$','$',,DOLLAR,'$'
,PERCENT,%,','%','%',,PERCENT,'%'
,AMPERSAND,&,','&','&',,AMPERSAND,'&'
,APOSTROPHE,',',''',''',,APOSTROPHE,'''
,LBRACKETS,(,','(','(',,LBRACKETS,'('
,RBRACKETS,),',')',')',,RBRACKETS,')'
,ASTERISK,*,','*','*',,ASTERISK,'*'
,PLUS,+,','+','+',,PLUS,'+'
,COMMA,",",',"','","','",,COMMA,"','"
,MINUS,-,','-','-',,MINUS,'-'
,DOT,.,','.','.',,DOT,'.'
,SLASH,/,','/','/',,SLASH,'/'
,COLON,:,',':',':',,COLON,':'
,SEMICOLON,;,',';',';',,SEMICOLON,';'
,LESSTHAN,<,','<','<',,LESSTHAN,'<'
,EQUAL,=,','=','=',,EQUAL,'='
,GREATERTHAN,>,','>','>',,GREATERTHAN,'>'
,QUESTION,?,','?','?',,QUESTION,'?'
,AT,@,','@','@',,AT,'@'
,LSQUAREBRACKETS,[,','[','[',,LSQUAREBRACKETS,'['
,BACKSLASH,\,','\','\',,BACKSLASH,'\'
,RSQUAREBRACKETS,],',']',']',,RSQUAREBRACKETS,']'
,CARET,^,','^','^',,CARET,'^'
,UNDERSCORE,_,','_','_',,UNDERSCORE,'_'
,GRAVIS,`,','`','`',,GRAVIS,'`'
,LCURLYBRACKETS,{,','{','{',,LCURLYBRACKETS,'{'
,VERTICALBAR,|,','|','|',,VERTICALBAR,'|'
,RCURLYBRACKETS,},','}','}',,RCURLYBRACKETS,'}'
,TILDE,~,','~','~',,TILDE,'~'
,DASH,‒,','‒','‒',,DASH,'‒'
,BDASH,–,','–','–',,BDASH,'–'
,GDASH,—,','—','—',,GDASH,'—'
,GIANTDASH,―,','―','―',,GIANTDASH,'―'
,MULTIPLICATION,×,','×','×',,MULTIPLICATION,'×'
,INTERROBANG,\u2048,','\u2048','\u2048',,INTERROBANG,'\u2048'
,DISAMBIGUATION,\u2047,','\u2047','\u2047',,DISAMBIGUATION,'\u2047'
,HYPHEN,\u2010,','\u2010','\u2010',,HYPHEN,'\u2010'
,PER_MILLE,‰,','‰','‰',,PER_MILLE,'‰'
,PER_TEN_THOUSAND,‱,','‱','‱',,PER_TEN_THOUSAND,'‱'
,TWO_DOT,‥,','‥','‥',,TWO_DOT,'‥'
,HORIZONTAL_ELLIPSIS,…,','…','…',,HORIZONTAL_ELLIPSIS,'…'
,QUOTATION,"""",',"'""'","'""'",,QUOTATION,"'""'"
,APOSTROPHE,',',''',''',,APOSTROPHE,'''
,LEFT_POINTING_DOUBLE_ANGLE_QUOTATION,«,','«','«',,LEFT_POINTING_DOUBLE_ANGLE_QUOTATION,'«'
,RIGHT_POINTING_DOUBLE_ANGLE_QUOTATION,»,','»','»',,RIGHT_POINTING_DOUBLE_ANGLE_QUOTATION,'»'
,LEFT_SINGLE_QUOTATION,‘,','‘','‘',,LEFT_SINGLE_QUOTATION,'‘'
,RIGHT_SINGLE_QUOTATION,’,','’','’',,RIGHT_SINGLE_QUOTATION,'’'
,SINGLE_LOW_9_QUOTATION_MARK,‚,','‚','‚',,SINGLE_LOW_9_QUOTATION_MARK,'‚'
,SINGLE_HIGH_REVERSED_9_QUOTATION,‛,','‛','‛',,SINGLE_HIGH_REVERSED_9_QUOTATION,'‛'
,LEFT_DOUBLE_QUOTATION,“,','“','“',,LEFT_DOUBLE_QUOTATION,'“'
,RIGHT_DOUBLE_QUOTATION,”,','”','”',,RIGHT_DOUBLE_QUOTATION,'”'
,DOUBLE_LOW_9_QUOTATION,„,','„','„',,DOUBLE_LOW_9_QUOTATION,'„'
,DOUBLE_HIGH_REVERSED_9_QUOTATION,‟,','‟','‟',,DOUBLE_HIGH_REVERSED_9_QUOTATION,'‟'
,SINGLE_LEFT_POINTING_ANGLE_QUOTATION,‹,','‹','‹',,SINGLE_LEFT_POINTING_ANGLE_QUOTATION,'‹'
,SINGLE_RIGHT_POINTING_ANGLE_QUOTATION,›,','›','›',,SINGLE_RIGHT_POINTING_ANGLE_QUOTATION,'›'
